157.0.0.0,157.0.255.255,AS,CN,Jiangsu,"Xuzhou (Pizhou Shi)",34.3388,118.014
157.14.232.0,157.14.232.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.233.0,157.14.236.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.237.0,157.14.237.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
157.14.238.0,157.14.238.255,AS,JP,Tokyo,Fuchū,35.6745,139.482
157.14.239.0,157.14.240.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.241.0,157.14.241.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.242.0,157.14.242.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.243.0,157.14.243.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
157.14.244.0,157.14.246.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.247.0,157.14.247.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.248.0,157.14.251.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.252.0,157.14.255.255,AS,JP,Tokyo,Toshima,35.7295,139.718
157.15.0.0,157.15.255.255,OC,AU,Queensland,Brisbane,-27.4698,153.025
157.16.0.0,157.16.255.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.17.0.0,157.17.127.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
157.17.128.0,157.17.130.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.131.0,157.17.132.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.133.0,157.17.133.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.134.0,157.17.136.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.137.0,157.17.137.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.138.0,157.17.138.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.139.0,157.17.139.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.140.0,157.17.141.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.142.0,157.17.142.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.143.0,157.17.143.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.144.0,157.17.145.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.146.0,157.17.147.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.148.0,157.17.151.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.152.0,157.17.155.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.156.0,157.17.157.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.158.0,157.17.158.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.159.0,157.17.159.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.160.0,157.17.161.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.162.0,157.17.162.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.163.0,157.17.164.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.165.0,157.17.166.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.167.0,157.17.169.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.170.0,157.17.170.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.171.0,157.17.172.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.173.0,157.17.174.255,AS,JP,Ōsaka,"Osaka (Minamihonmachi)",34.6825,135.504
157.17.175.0,157.17.175.255,AS,JP,Ōsaka,Kita-ku,34.704,135.495
157.17.176.0,157.17.255.255,AS,JP,Hokkaido,Ishikari,43.1714,141.316
157.18.0.0,157.18.255.255,AS,CN,Guangdong,"Guangzhou (Yuexiu Qu)",23.1277,113.269
157.19.0.0,157.19.255.255,AS,JP,Hokkaido,"Muroran-shi (3 Chome)",42.3358,141.026
157.20.0.0,157.20.255.255,OC,AU,Victoria,"South Yarra",-37.84,144.989
157.21.0.0,157.21.255.255,NA,US,Virginia,Norfolk,36.8508,-76.2859
157.22.0.0,157.22.43.255,NA,US,California,"Mountain View",37.4146,-122.074
157.22.44.0,157.22.45.255,NA,US,California,"Mill Valley",37.8715,-122.535
157.22.46.0,157.22.63.255,NA,US,California,"Mountain View",37.4146,-122.074
157.22.64.0,157.22.95.255,NA,US,California,Sunnyvale,37.3841,-122.013
157.22.96.0,157.22.203.255,NA,US,California,"Mountain View",37.4146,-122.074
157.22.204.0,157.22.207.255,NA,US,California,Ontario,34.092,-117.609
157.22.208.0,157.22.210.255,NA,US,California,"Mountain View",37.4146,-122.074
157.22.211.0,157.22.213.255,NA,US,California,Ontario,34.092,-117.609
157.22.214.0,157.22.255.255,NA,US,California,"Mountain View",37.4146,-122.074
157.23.0.0,157.23.199.255,EU,FR,Île-de-France,Coupvray,48.8672,2.78383
157.23.200.0,157.23.200.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
157.23.201.0,157.23.223.255,EU,FR,Île-de-France,Coupvray,48.8672,2.78383
157.23.224.0,157.23.224.255,EU,NL,"North Holland",Schiphol-Rijk,52.2812,4.76504
157.23.225.0,157.23.225.255,EU,FR,"Provence-Alpes-Côte d'Azur",Marseille,43.2965,5.36978
157.23.226.0,157.23.226.255,EU,NL,"North Holland","Amsterdam (Amsterdam-Noord)",52.3855,4.92166
157.23.227.0,157.23.231.255,EU,FR,Île-de-France,Coupvray,48.8672,2.78383
157.23.232.0,157.23.232.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
157.23.233.0,157.23.233.255,EU,FR,"Provence-Alpes-Côte d'Azur",Marseille,43.2965,5.36978
157.23.234.0,157.23.234.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
157.23.235.0,157.23.235.255,EU,FR,Île-de-France,Coupvray,48.8672,2.78383
157.23.236.0,157.23.237.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
157.23.238.0,157.23.241.11,EU,FR,Île-de-France,Coupvray,48.8672,2.78383
157.23.241.12,157.23.241.255,EU,GB,England,"London (Hammersmith and Fulham)",51.4913,-0.224119
157.23.242.0,157.23.242.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
157.23.243.0,157.23.255.255,EU,FR,Île-de-France,Coupvray,48.8672,2.78383
157.24.0.0,157.24.255.255,EU,FI,"South Karelia",Lappeenranta,61.0659,28.0938
157.25.0.0,157.25.4.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.5.0,157.25.5.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1908,21.0158
157.25.6.0,157.25.13.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.14.0,157.25.14.255,EU,PL,Pomerania,"Nowa Wieś Lęborska",54.5588,17.7276
157.25.15.0,157.25.15.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.16.0,157.25.16.255,EU,PL,"Lower Silesia",Miłkowice,51.256,16.0723
157.25.17.0,157.25.17.255,EU,PL,Lubusz,Torzym,52.3133,15.0824
157.25.18.0,157.25.18.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.19.0,157.25.19.255,EU,PL,Lubusz,Babimost,52.1649,15.8277
157.25.20.0,157.25.39.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.40.0,157.25.40.255,EU,PL,"Lower Silesia",Wrocław,51.1,17.0333
157.25.41.0,157.25.56.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.57.0,157.25.57.255,EU,PL,"Lesser Poland",Łącko,49.5524,20.4514
157.25.58.0,157.25.73.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.74.0,157.25.74.255,EU,PL,Mazovia,Wilanów,52.1631,21.0875
157.25.75.0,157.25.79.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.80.0,157.25.80.255,EU,PL,Kujawsko-Pomorskie,Bydgoszcz,53.1235,18.0076
157.25.81.0,157.25.96.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.97.0,157.25.97.255,EU,PL,"Lesser Poland",Krakow,50.0614,19.9366
157.25.98.0,157.25.105.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.106.0,157.25.106.255,EU,PL,Mazovia,Śródmieście,52.229,21.0164
157.25.107.0,157.25.122.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.123.0,157.25.123.255,EU,PL,"Lesser Poland","Krakow (Krowodrza)",50.0688,19.9233
157.25.124.0,157.25.129.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.130.0,157.25.131.255,EU,PL,Mazovia,"Warsaw (Śródmieście)",52.223,21.038
157.25.132.0,157.25.132.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1806,20.9931
157.25.133.0,157.25.139.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.140.0,157.25.140.255,EU,PL,"Greater Poland","Poznan (Nowe Miasto)",52.3375,17.0148
157.25.141.0,157.25.143.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.144.0,157.25.144.255,EU,PL,"Łódź Voivodeship","Gmina Przedbórz",51.0879,19.8738
157.25.145.0,157.25.149.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.150.0,157.25.150.255,EU,PL,Mazovia,"Warsaw (Białołęka)",52.3091,21.0289
157.25.151.0,157.25.152.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.153.0,157.25.153.255,EU,PL,Mazovia,"Olszewo Borki",53.0678,21.5359
157.25.154.0,157.25.163.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.164.0,157.25.164.255,EU,PL,"Lesser Poland",Tomaszkowice,49.9792,20.0997
157.25.165.0,157.25.168.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.169.0,157.25.169.255,EU,PL,"Greater Poland","Bojanowo Stare",51.993,16.5837
157.25.170.0,157.25.173.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.174.0,157.25.175.255,EU,PL,Mazovia,"Warsaw (Śródmieście)",52.223,21.038
157.25.176.0,157.25.184.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.185.0,157.25.185.255,EU,PL,"Lesser Poland",Krakow,50.0614,19.9366
157.25.186.0,157.25.186.255,EU,PL,Silesia,Rydułtowy,50.0586,18.417
157.25.187.0,157.25.187.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.188.0,157.25.188.255,EU,PL,Mazovia,Mokotów,52.1934,21.0349
157.25.189.0,157.25.198.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.199.0,157.25.199.255,EU,PL,Subcarpathia,"Stalowa Wola",50.5829,22.0533
157.25.200.0,157.25.221.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.222.0,157.25.222.255,EU,PL,"Greater Poland",Swarzędz,52.4129,17.085
157.25.223.0,157.25.223.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.224.0,157.25.224.255,EU,PL,"Lower Silesia",Miłoszyce,51.0498,17.3129
157.25.225.0,157.25.239.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.240.0,157.25.240.255,EU,PL,Mazovia,Żyrardów,52.0488,20.446
157.25.241.0,157.25.241.255,EU,PL,"Lesser Poland",Zaborze,50.0218,19.2407
157.25.242.0,157.25.243.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.244.0,157.25.244.255,EU,PL,"West Pomerania",Koszalin,54.1944,16.1722
157.25.245.0,157.25.245.255,EU,PL,Mazovia,Mokotów,52.1934,21.0349
157.25.246.0,157.25.246.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.25.247.0,157.25.247.255,EU,PL,Podlasie,Bialystok,53.1333,23.1643
157.25.248.0,157.25.255.255,EU,PL,Mazovia,"Warsaw (Mokotów)",52.1811,20.993
157.26.0.0,157.26.63.255,EU,CH,Neuchâtel,Neuchâtel,46.99,6.92927
157.26.64.0,157.26.127.255,EU,CH,Neuchâtel,Neuchâtel,46.9977,6.93872
157.26.128.0,157.26.255.255,EU,CH,Neuchâtel,Neuchâtel,46.99,6.92927
157.27.0.0,157.27.99.255,EU,IT,Veneto,Verona,45.4373,11.0034
157.27.100.0,157.27.100.255,EU,IT,Veneto,"San Pancrazio",45.4245,11.0226
157.27.101.0,157.27.146.255,EU,IT,Veneto,Verona,45.4373,11.0034
157.27.147.0,157.27.147.255,EU,IT,Veneto,Verona,45.4299,10.9844
157.27.148.0,157.27.255.255,EU,IT,Veneto,Verona,45.4373,11.0034
157.28.0.0,157.29.255.255,EU,IT,Lombardy,"Figino Serenza",45.7151,9.13023
157.30.0.0,157.31.255.255,NA,US,Arizona,"Phoenix (Central City)",33.4517,-112.073
157.32.0.0,157.32.2.15,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.2.16,157.32.2.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
157.32.3.0,157.32.5.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.6.0,157.32.7.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.8.0,157.32.8.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
157.32.9.0,157.32.9.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.10.0,157.32.11.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.12.0,157.32.12.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.13.0,157.32.13.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.14.0,157.32.14.255,AS,IN,Gujarat,Gadhada,21.9696,71.5783
157.32.15.0,157.32.16.159,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.16.160,157.32.16.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.17.0,157.32.17.255,AS,IN,Gujarat,Mālpur,23.3603,73.466
157.32.18.0,157.32.18.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.19.0,157.32.19.255,AS,IN,Gujarat,Amroli,21.2508,72.8388
157.32.20.0,157.32.20.255,AS,IN,Gujarat,Bharūch,21.6948,72.9805
157.32.21.0,157.32.21.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.22.0,157.32.22.255,AS,IN,Gujarat,Sarkhej,22.983,72.502
157.32.23.0,157.32.23.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.24.0,157.32.25.31,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.25.32,157.32.25.255,AS,IN,Gujarat,Kapadvanj,23.023,73.0711
157.32.26.0,157.32.26.255,AS,IN,Gujarat,Chānasma,23.7147,72.1128
157.32.27.0,157.32.27.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.28.0,157.32.28.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.29.0,157.32.29.255,AS,IN,Gujarat,Kapadvanj,23.023,73.0711
157.32.30.0,157.32.30.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
157.32.31.0,157.32.31.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.32.0,157.32.32.255,AS,IN,Gujarat,Ahmedabad,23.0258,72.5873
157.32.33.0,157.32.33.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.34.0,157.32.34.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.35.0,157.32.35.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.36.0,157.32.36.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
157.32.37.0,157.32.38.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.39.0,157.32.39.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.40.0,157.32.40.255,AS,IN,Gujarat,Sojītra,22.5388,72.7198
157.32.41.0,157.32.41.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.42.0,157.32.42.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
157.32.43.0,157.32.43.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.44.0,157.32.44.255,AS,IN,Gujarat,Khambhāliya,22.2069,69.6503
157.32.45.0,157.32.45.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.46.0,157.32.46.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
157.32.47.0,157.32.47.255,AS,IN,Gujarat,Padra,22.2398,73.0845
157.32.48.0,157.32.48.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.49.0,157.32.49.255,AS,IN,Gujarat,Sojītra,22.5388,72.7198
157.32.50.0,157.32.50.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.51.0,157.32.51.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.52.0,157.32.52.255,AS,IN,Gujarat,Mālpur,23.3603,73.466
157.32.53.0,157.32.53.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.54.0,157.32.54.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.55.0,157.32.55.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.56.0,157.32.56.255,AS,IN,Gujarat,Sojītra,22.5388,72.7198
157.32.57.0,157.32.57.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.58.0,157.32.58.255,AS,IN,Gujarat,Ahmedabad,23.0258,72.5873
157.32.59.0,157.32.59.255,AS,IN,Gujarat,Kapadvanj,23.023,73.0711
157.32.60.0,157.32.61.15,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.61.16,157.32.61.159,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.61.160,157.32.62.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.63.0,157.32.63.255,AS,IN,Gujarat,Utrān,21.2333,72.8667
157.32.64.0,157.32.64.255,AS,IN,Gujarat,Kadi,23.2991,72.3336
157.32.65.0,157.32.65.255,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.66.0,157.32.66.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.67.0,157.32.67.255,AS,IN,Gujarat,Kapadvanj,23.023,73.0711
157.32.68.0,157.32.68.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.69.0,157.32.69.255,AS,IN,Gujarat,Kapadvanj,23.023,73.0711
157.32.70.0,157.32.70.255,AS,IN,Gujarat,Mālpur,23.3603,73.466
157.32.71.0,157.32.72.55,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.72.56,157.32.73.127,AS,IN,Gujarat,Surat,21.1959,72.8302
157.32.73.128,157.32.73.255,AS,IN,Gujarat,Kapadvanj,23.023,73.0711
157.32.74.0,157.32.74.255,AS,IN,Maharashtra,"Navi Mumbai",19.1299,73.0147
157.32.75.0,157.32.75.255,AS,IN,Gujarat,Utrān,21.2333,72.8667
157.32.76.0,157.32.76.255,AS,IN,Gujarat,Adalaj,23.1645,72.5811
157.32.77.0,157.32.77.255,AS,IN,Gujarat,Sinor,21.9112,73.3397
157.32.78.0,157.32.78.255,AS,IN,Maharashtra,Dāhānu,19.9678,72.7126
