14.0.0.0,14.0.7.255,AS,CN,Guangdong,Guangzhou,23.1322,113.267
14.0.170.128,14.0.172.15,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.172.16,14.0.172.223,AS,HK,"Tai Po","Tai Po",22.4501,114.169
14.0.172.224,14.0.173.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.174.0,14.0.174.255,AS,HK,"Central and Western",Central,22.283,114.158
14.0.175.0,14.0.175.255,AS,HK,"Yuen Long","Yuen Long Kau Hui",22.45,114.033
14.0.176.0,14.0.176.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.177.0,14.0.177.255,AS,HK,Islands,东涌,22.2878,113.942
14.0.178.0,14.0.183.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.184.0,14.0.191.255,AS,HK,"Sham Shui Po","Lai Chi Kok",22.3355,114.144
14.0.192.0,14.0.208.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.209.0,14.0.215.255,AS,HK,"Sham Shui Po","Lai Chi Kok",22.3355,114.144
14.0.216.0,14.0.216.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.217.0,14.0.223.255,AS,HK,"Sham Shui Po","Lai Chi Kok",22.3355,114.144
14.0.224.0,14.0.224.127,AS,HK,"Central and Western",Central,22.283,114.158
14.0.224.128,14.0.226.31,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.226.32,14.0.226.239,AS,HK,"Wan Chai",Wanchai,22.2814,114.173
14.0.226.240,14.0.228.63,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.228.64,14.0.228.255,AS,HK,"Central and Western","Hong Kong",22.2783,114.175
14.0.229.0,14.0.230.63,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.230.64,14.0.230.191,AS,HK,"Tsuen Wan","Tsuen Wan",22.3714,114.113
14.0.230.192,14.0.235.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.236.0,14.0.236.255,AS,HK,"Central and Western",Central,22.283,114.158
14.0.237.0,14.0.237.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.238.0,14.0.239.255,AS,HK,"Sham Shui Po","Lai Chi Kok",22.3355,114.144
14.0.240.0,14.0.240.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.241.0,14.0.255.255,AS,HK,"Sham Shui Po","Lai Chi Kok",22.3355,114.144
14.1.0.0,14.1.3.255,AS,CN,Fujian,Fuzhou,26.1008,119.295
14.1.4.0,14.1.7.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
14.1.8.0,14.1.15.255,AS,JP,Nagasaki,Nagasaki,32.7503,129.878
14.1.16.0,14.1.19.255,OC,AU,"New South Wales","Grose Vale",-33.584,150.674
14.1.20.0,14.1.23.255,NA,US,California,"Los Angeles (Central LA)",34.0581,-118.281
14.1.24.0,14.1.27.255,AS,CN,Beijing,Beijing,39.9042,116.407
14.1.28.0,14.1.29.255,NA,US,California,"Los Angeles",34.0522,-118.244
14.1.30.0,14.1.30.255,NA,US,Illinois,Chicago,41.8781,-87.6298
14.1.31.0,14.1.31.255,NA,US,"New York","New York",40.7056,-73.978
14.1.32.0,14.1.34.255,OC,NZ,Auckland,Auckland,-36.8485,174.763
14.1.35.0,14.1.35.255,OC,NZ,Auckland,"North Shore",-36.8,174.75
14.1.36.0,14.1.36.255,OC,NZ,Auckland,Auckland,-36.8485,174.763
14.1.37.0,14.1.37.255,OC,NZ,Auckland,Wiri,-36.9982,174.86
14.1.38.0,14.1.38.255,OC,NZ,"Bay of Plenty",Tauranga,-37.6861,176.167
14.1.39.0,14.1.40.255,OC,NZ,Auckland,Auckland,-36.8486,174.754
14.1.41.0,14.1.42.103,OC,NZ,Auckland,Auckland,-36.8485,174.763
14.1.42.104,14.1.42.255,OC,NZ,Waikato,Taupo,-38.6833,176.083
14.1.43.0,14.1.47.255,OC,NZ,Auckland,Auckland,-36.8485,174.763
14.1.48.0,14.1.48.255,OC,NZ,Auckland,Auckland,-36.8486,174.754
14.1.49.0,14.1.49.255,OC,NZ,Auckland,Tamaki,-36.8882,174.86
14.1.50.0,14.1.51.255,OC,NZ,Auckland,Auckland,-36.8486,174.754
14.1.52.0,14.1.52.255,OC,NZ,Auckland,Auckland,-36.8485,174.763
14.1.53.0,14.1.53.255,OC,NZ,Wellington,Porirua,-41.1333,174.85
14.1.54.0,14.1.54.255,OC,NZ,"Bay of Plenty",Tauranga,-37.6861,176.167
14.1.55.0,14.1.55.255,OC,NZ,Waikato,Hamilton,-37.7833,175.283
14.1.56.0,14.1.56.255,OC,NZ,Auckland,"Rothesay Bay",-36.726,174.741
14.1.57.0,14.1.60.255,OC,NZ,Auckland,Auckland,-36.8486,174.754
14.1.61.0,14.1.61.255,OC,NZ,Wellington,"Lower Hutt",-41.2167,174.917
14.1.62.0,14.1.62.255,OC,NZ,Wellington,Wellington,-41.2866,174.776
14.1.63.0,14.1.63.255,OC,NZ,Auckland,Auckland,-36.8486,174.754
14.1.64.0,14.1.65.255,OC,NZ,Auckland,Auckland,-36.8597,174.754
14.1.66.0,14.1.67.255,OC,NZ,Canterbury,Christchurch,-43.5333,172.633
14.1.68.0,14.1.80.255,OC,NZ,Auckland,Auckland,-36.8597,174.754
14.1.81.0,14.1.81.255,OC,NZ,Auckland,"East Tamaki",-36.95,174.9
14.1.82.0,14.1.95.255,OC,NZ,Auckland,Auckland,-36.8597,174.754
14.1.96.0,14.1.99.255,AS,HK,"Wan Chai",Wanchai,22.2643,114.188
14.1.100.0,14.1.103.255,AS,BD,Dhaka,"Dhaka (Mohammadpur)",23.7658,90.3584
14.1.104.0,14.1.107.255,AS,PK,Sindh,"Karachi (Sadr)",24.855,67.026
14.1.108.0,14.1.111.255,AS,CN,Shanghai,"Pudong Xinqu",31.1358,121.586
14.1.112.0,14.1.115.255,AS,SG,,"Singapore (Downtown Core)",1.28419,103.851
14.1.116.0,14.1.119.255,AS,IN,Maharashtra,Nagpur,21.1458,79.0882
14.1.120.0,14.1.123.255,AS,IN,Maharashtra,"Navi Mumbai",19.0794,72.9992
14.1.124.0,14.1.127.255,AS,IN,"Madhya Pradesh",Indore,22.7196,75.8577
14.1.128.0,14.1.224.20,AS,MY,"Kuala Lumpur","Kuala Lumpur (City Centre)",3.14761,101.698
14.1.224.21,14.1.224.255,AS,MY,"Negeri Sembilan",Seremban,2.7297,101.938
14.1.225.0,14.1.225.255,AS,MY,"Kuala Lumpur","Kuala Lumpur",3.1412,101.687
14.1.226.0,14.1.226.255,AS,MY,Penang,"Permatang Kuching",5.46339,100.381
14.1.227.0,14.1.227.255,AS,MY,"Kuala Lumpur","Kuala Lumpur",3.1412,101.687
14.1.228.0,14.1.255.255,AS,MY,"Kuala Lumpur","Kuala Lumpur (City Centre)",3.14761,101.698
14.2.0.0,14.2.0.255,OC,AU,"South Australia",Adelaide,-34.9287,138.599
14.2.1.0,14.2.1.255,OC,AU,"South Australia",Marion,-35.0042,138.553
14.2.2.0,14.2.2.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.3.0,14.2.3.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.4.0,14.2.4.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.5.0,14.2.5.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.6.0,14.2.6.255,OC,AU,"South Australia","Craigburn Farm",-35.0405,138.605
14.2.7.0,14.2.7.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.8.0,14.2.8.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.9.0,14.2.9.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.10.0,14.2.10.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.11.0,14.2.11.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.12.0,14.2.12.255,OC,AU,"South Australia",Adelaide,-34.9287,138.599
14.2.13.0,14.2.15.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.16.0,14.2.16.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.17.0,14.2.17.255,OC,AU,"South Australia",Hawthorndene,-35.0223,138.63
14.2.18.0,14.2.20.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.21.0,14.2.21.255,OC,AU,"South Australia",Adelaide,-34.9287,138.599
14.2.22.0,14.2.23.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.24.0,14.2.24.255,OC,AU,"South Australia","Eden Hills",-35.0211,138.596
14.2.25.0,14.2.25.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.26.0,14.2.26.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.27.0,14.2.27.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.28.0,14.2.28.255,OC,AU,"South Australia",Panorama,-34.9908,138.599
14.2.29.0,14.2.29.255,OC,AU,"South Australia","Port Pirie West",-33.1779,137.999
14.2.30.0,14.2.30.255,OC,AU,"South Australia","Gepps Cross",-34.8415,138.596
14.2.31.0,14.2.31.255,OC,AU,"South Australia",Belair,-34.9977,138.621
14.2.32.0,14.2.33.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.34.0,14.2.34.255,OC,AU,"South Australia",Hillcrest,-34.8625,138.643
14.2.35.0,14.2.44.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.45.0,14.2.45.255,OC,AU,"South Australia","Adelaide city centre",-34.9287,138.603
14.2.46.0,14.2.59.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.60.0,14.2.60.255,OC,AU,"South Australia",Brompton,-34.8945,138.578
14.2.61.0,14.2.64.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.65.0,14.2.65.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.66.0,14.2.66.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.67.0,14.2.67.255,OC,AU,"South Australia","Westbourne Park",-34.9716,138.595
14.2.68.0,14.2.68.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.69.0,14.2.69.255,OC,AU,"South Australia","Semaphore South",-34.8498,138.479
14.2.70.0,14.2.70.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.71.0,14.2.71.255,OC,AU,"South Australia","Hackham West",-35.1431,138.514
14.2.72.0,14.2.72.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.73.0,14.2.73.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.74.0,14.2.74.255,OC,AU,"South Australia","Morphett Vale",-35.1333,138.517
14.2.75.0,14.2.75.255,OC,AU,"South Australia",Athelstone,-34.8702,138.7
14.2.76.0,14.2.76.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.77.0,14.2.77.255,OC,AU,"South Australia",Glenalta,-35.0079,138.626
14.2.78.0,14.2.78.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.79.0,14.2.79.255,OC,AU,"South Australia",Northgate,-34.8578,138.629
14.2.80.0,14.2.80.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.81.0,14.2.81.255,OC,AU,"South Australia","Morphett Vale",-35.1333,138.517
14.2.82.0,14.2.82.255,OC,AU,"South Australia","Munno Para West",-34.6646,138.681
14.2.83.0,14.2.83.255,OC,AU,"South Australia",Vista,-34.8355,138.723
14.2.84.0,14.2.84.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.85.0,14.2.86.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.87.0,14.2.87.255,OC,AU,"South Australia",Adelaide,-34.9287,138.599
14.2.88.0,14.2.88.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.89.0,14.2.89.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.90.0,14.2.90.255,OC,AU,"South Australia","Mawson Lakes",-34.8159,138.608
14.2.91.0,14.2.91.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.92.0,14.2.92.255,OC,AU,"South Australia","Davoren Park",-34.6906,138.669
14.2.93.0,14.2.93.255,OC,AU,"South Australia",Clearview,-34.8573,138.613
14.2.94.0,14.2.95.127,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.95.128,14.2.95.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.96.0,14.2.98.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.99.0,14.2.99.255,OC,AU,"South Australia",Willaston,-34.5864,138.741
14.2.100.0,14.2.101.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.102.0,14.2.102.255,OC,AU,"South Australia",Strathalbyn,-35.2598,138.892
14.2.103.0,14.2.103.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.104.0,14.2.104.255,OC,AU,"South Australia","Aldinga Beach",-35.2783,138.458
14.2.105.0,14.2.105.255,OC,AU,"South Australia",Hillier,-34.6309,138.668
14.2.106.0,14.2.106.255,OC,AU,"South Australia",Bridgewater,-35.014,138.766
14.2.107.0,14.2.107.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.108.0,14.2.108.255,OC,AU,"South Australia",Adelaide,-34.9287,138.599
14.2.109.0,14.2.109.255,OC,AU,"South Australia","Aldinga Beach",-35.2783,138.458
14.2.110.0,14.2.110.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.111.0,14.2.111.255,OC,AU,"South Australia","Albert Park",-34.872,138.52
14.2.112.0,14.2.112.255,OC,AU,"South Australia","Mount Gambier",-37.8318,140.779
14.2.113.0,14.2.118.103,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.118.104,14.2.118.111,OC,AU,"South Australia","Old Reynella",-35.1035,138.534
14.2.118.112,14.2.120.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.121.0,14.2.121.255,OC,AU,"South Australia","Walkley Heights",-34.8367,138.644
14.2.122.0,14.2.122.255,OC,AU,"South Australia",Loveday,-34.2833,140.433
14.2.123.0,14.2.123.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.124.0,14.2.124.255,OC,AU,"South Australia","Old Noarlunga",-35.1821,138.501
14.2.125.0,14.2.125.255,OC,AU,"South Australia","Seaford Meadows",-35.1728,138.488
14.2.126.0,14.2.126.255,OC,AU,"South Australia","Mawson Lakes",-34.8159,138.608
14.2.127.0,14.2.127.255,OC,AU,"South Australia",Adelaide,-34.9285,138.601
14.2.128.0,14.2.128.255,OC,AU,Tasmania,"Mount Stuart",-42.8716,147.302
14.2.129.0,14.2.129.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.130.0,14.2.130.255,OC,AU,Tasmania,"Midway Point",-42.7948,147.529
14.2.131.0,14.2.131.255,OC,AU,Tasmania,"North Hobart",-42.8741,147.316
14.2.132.0,14.2.132.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.133.0,14.2.133.255,OC,AU,Tasmania,"Risdon Vale",-42.8124,147.357
14.2.134.0,14.2.140.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.141.0,14.2.141.255,OC,AU,Tasmania,"West Moonah",-42.85,147.282
14.2.142.0,14.2.142.255,OC,AU,Tasmania,"Blackmans Bay",-43.0031,147.317
14.2.143.0,14.2.143.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.144.0,14.2.144.255,OC,AU,Tasmania,"South Hobart",-42.8946,147.309
14.2.145.0,14.2.145.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.146.0,14.2.146.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.147.0,14.2.147.255,OC,AU,Tasmania,Moonah,-42.8462,147.302
14.2.148.0,14.2.150.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.151.0,14.2.151.255,OC,AU,Victoria,Melbourne,-37.8141,144.963
14.2.152.0,14.2.152.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.153.0,14.2.153.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.154.0,14.2.154.255,OC,AU,Tasmania,"New Town",-42.8576,147.309
14.2.155.0,14.2.155.255,OC,AU,Tasmania,Montrose,-42.8289,147.247
14.2.156.0,14.2.156.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.157.0,14.2.157.255,OC,AU,Tasmania,Scamander,-41.456,148.261
14.2.158.0,14.2.158.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.159.0,14.2.159.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.160.0,14.2.160.255,OC,AU,Tasmania,Glenorchy,-42.8334,147.276
14.2.161.0,14.2.161.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.162.0,14.2.162.255,OC,AU,Victoria,Melbourne,-37.8141,144.963
14.2.163.0,14.2.163.255,OC,AU,Tasmania,Chigwell,-42.8091,147.245
14.2.164.0,14.2.165.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.166.0,14.2.166.255,OC,AU,Tasmania,Glenorchy,-42.8334,147.276
14.2.167.0,14.2.167.255,OC,AU,Tasmania,"Sandy Bay",-42.8945,147.324
14.2.168.0,14.2.170.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.171.0,14.2.171.255,OC,AU,Tasmania,"Blackmans Bay",-43.0031,147.317
14.2.172.0,14.2.173.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.174.0,14.2.174.255,OC,AU,Tasmania,Hobart,-42.8794,147.329
14.2.175.0,14.2.175.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.176.0,14.2.176.255,OC,AU,Tasmania,Glebe,-42.8747,147.328
14.2.177.0,14.2.178.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.179.0,14.2.179.255,OC,AU,Tasmania,Kingston,-42.9764,147.304
14.2.180.0,14.2.180.255,OC,AU,Tasmania,"Midway Point",-42.7948,147.529
14.2.181.0,14.2.181.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.182.0,14.2.182.255,OC,AU,Tasmania,"New Norfolk",-42.7826,147.059
14.2.183.0,14.2.183.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.184.0,14.2.184.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.185.0,14.2.185.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.186.0,14.2.186.255,OC,AU,Tasmania,Karoola,-41.2443,147.153
14.2.187.0,14.2.188.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.189.0,14.2.189.255,OC,AU,Tasmania,Warrane,-42.8555,147.383
14.2.190.0,14.2.191.255,OC,AU,Tasmania,Hobart,-42.8819,147.324
14.2.192.0,14.2.192.255,OC,AU,"South Australia",Queenstown,-34.8609,138.51
14.2.193.0,14.2.193.255,OC,AU,"South Australia",Semaphore,-34.8393,138.482
14.2.194.0,14.2.194.255,OC,AU,"South Australia","Morphett Vale",-35.1333,138.517
14.2.195.0,14.2.195.255,OC,AU,"South Australia","Reynella East",-35.092,138.557
14.2.196.0,14.2.198.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.199.0,14.2.199.255,OC,AU,"South Australia",Modbury,-34.8333,138.683
14.2.200.0,14.2.200.255,OC,AU,"South Australia","West Lakes Shore",-34.8601,138.49
14.2.201.0,14.2.201.255,OC,AU,"South Australia","Sheidow Park",-35.0793,138.527
14.2.202.0,14.2.202.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.203.0,14.2.204.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.205.0,14.2.205.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.206.0,14.2.206.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.207.0,14.2.208.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.209.0,14.2.215.255,OC,AU,Victoria,Melbourne,-37.8141,144.963
14.2.216.0,14.2.216.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.217.0,14.2.223.255,OC,AU,Victoria,Melbourne,-37.8141,144.963
14.2.224.0,14.2.224.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.225.0,14.2.226.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.227.0,14.2.228.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.229.0,14.2.229.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.230.0,14.2.230.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.231.0,14.2.231.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.232.0,14.2.232.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.233.0,14.2.233.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.234.0,14.2.235.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.236.0,14.2.237.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.238.0,14.2.238.255,OC,AU,"Western Australia",Perth,-31.9526,115.851
14.2.239.0,14.2.239.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.240.0,14.2.240.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.241.0,14.2.241.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.242.0,14.2.243.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.244.0,14.2.244.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.2.245.0,14.2.249.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.250.0,14.2.250.255,OC,AU,Queensland,Brisbane,-27.4698,153.025
14.2.251.0,14.2.254.255,OC,AU,"South Australia",Adelaide,-34.9286,138.6
14.2.255.0,14.2.255.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
14.3.0.0,14.3.5.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.6.0,14.3.6.255,AS,JP,Nagano,Nagano,36.65,138.183
14.3.7.0,14.3.16.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.17.0,14.3.17.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.18.0,14.3.21.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.22.0,14.3.22.255,AS,JP,Tokyo,Musashimurayama,35.7424,139.426
14.3.23.0,14.3.23.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.24.0,14.3.26.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.27.0,14.3.27.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
14.3.28.0,14.3.28.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.29.0,14.3.29.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.30.0,14.3.30.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.31.0,14.3.31.255,AS,JP,Tokyo,Akiruno,35.7285,139.232
14.3.32.0,14.3.32.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.33.0,14.3.33.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.34.0,14.3.34.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.35.0,14.3.35.255,AS,JP,Saitama,Yashio,35.8226,139.839
14.3.36.0,14.3.36.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.37.0,14.3.39.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.40.0,14.3.40.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.41.0,14.3.43.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.44.0,14.3.44.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.45.0,14.3.45.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
14.3.46.0,14.3.49.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.50.0,14.3.51.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.52.0,14.3.52.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.53.0,14.3.53.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.54.0,14.3.55.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.56.0,14.3.56.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
14.3.57.0,14.3.57.255,AS,JP,Tokyo,Musashino,35.7061,139.559
14.3.58.0,14.3.58.255,AS,JP,Tokyo,Urayasu,35.6706,139.889
14.3.59.0,14.3.59.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.3.60.0,14.3.60.255,AS,JP,Tokyo,Hachiōji,35.6558,139.324
